"id_mutation","nature_mutation","valeur_fonciere","code_postal","type_local","surface_reelle_bati"
"2023-432816","Vente","123000","80300","Maison","78"
"2023-432817","Vente","93000","80300","Maison","80"
"2023-432818","Vente","65000","80270","Maison","84"
"2023-432819","Vente","119570","80460","Appartement","52"
"2023-432821","Vente","2000","80550","Appartement","101"
"2023-432822","Vente","150000","80120","Maison","75"
"2023-432823","Vente","274600","80134","Maison","173"
"2023-432823","Vente","274600","80134","Maison","173"
"2023-432824","Vente","191000","80300","Maison","141"
"2023-432825","Vente","700000","80110","Local industriel. commercial ou assimilé","13120"
"2023-432825","Vente","700000","80110","Maison","74"
"2023-432827","Vente","150000","80410","Maison","42"
"2023-432830","Vente","150000","80000","Appartement","71"
"2023-432831","Vente","350000","80000","Local industriel. commercial ou assimilé","32"
"2023-432831","Vente","350000","80000","Local industriel. commercial ou assimilé","160"
"2023-432832","Vente","70000","80430","Maison","75"
"2023-432833","Vente","199000","80110","Maison","112"
"2023-432834","Vente","185500","80090","Maison","66"
"2023-432835","Vente","65000","80460","Maison","99"
"2023-432837","Vente","200000","80120","Appartement","53"
"2023-432838","Vente","148500","80190","Maison","100"
"2023-432839","Vente","182000","80110","Maison","60"
"2023-432839","Vente","182000","80110","Maison","35"
"2023-432839","Vente","182000","80110","Maison","62"
"2023-432840","Vente","58000","80200","Appartement","68"
"2023-432841","Vente","125000","80000","Appartement","62"
"2023-432842","Vente","167200","80250","Maison","120"
"2023-432844","Vente","75000","80350","Maison","69"
"2023-432845","Vente","215000","80160","Maison","94"
"2023-432846","Vente","200000","80350","Maison","75"
"2023-432847","Vente","250000","80110","Maison","163"
"2023-432848","Vente","120000","80000","Maison","20"
"2023-432848","Vente","120000","80000","Local industriel. commercial ou assimilé","24"
"2023-432850","Vente","115000","80140","Maison","74"
"2023-432851","Vente","97000","80000","Maison","40"
"2023-432852","Vente","187000","80000","Appartement","67"
"2023-432853","Vente","55000","80100","Maison","70"
"2023-432854","Vente","160000","80000","Local industriel. commercial ou assimilé","70"
"2023-432860","Vente","75000","80440","Maison","101"
"2023-432862","Vente","303316","80600","Local industriel. commercial ou assimilé","55"
"2023-432862","Vente","303316","80600","Local industriel. commercial ou assimilé","55"
"2023-432862","Vente","303316","80600","Local industriel. commercial ou assimilé","55"
"2023-432862","Vente","303316","80600","Local industriel. commercial ou assimilé","55"
"2023-432862","Vente","303316","80600","Local industriel. commercial ou assimilé","55"
"2023-432862","Vente","303316","80600","Local industriel. commercial ou assimilé","55"
"2023-432863","Vente","44000","80140","Maison","56"
"2023-432864","Vente","270500","80120","Appartement","39"
"2023-432864","Vente","270500","80120","Appartement","36"
"2023-432865","Vente","131500","80500","Maison","63"
"2023-432866","Vente","64800","80200","Maison","187"
"2023-432866","Vente","64800","80200","Maison","187"
"2023-432867","Vente","169771","80200","Maison","113"
"2023-432867","Vente","169771","80200","Maison","113"
"2023-432868","Vente","188000","80120","Maison","43"
"2023-432869","Vente","223000","80300","Maison","36"
"2023-432869","Vente","223000","80300","Local industriel. commercial ou assimilé","627"
"2023-432872","Vente","110000","80200","Maison","81"
"2023-432872","Vente","110000","80200","Maison","81"
"2023-432875","Vente","151300","80620","Maison","78"
"2023-432876","Vente","161500","80700","Maison","120"
"2023-432876","Vente","161500","80700","Maison","46"
"2023-432878","Vente","196000","80460","Maison","118"
"2023-432879","Vente","45000","80400","Appartement","42"
"2023-432879","Vente","45000","80400","Appartement","42"
"2023-432880","Vente","200000","80200","Maison","230"
"2023-432881","Vente","116000","80000","Appartement","52"
"2023-432883","Vente","155000","80550","Maison","50"
"2023-432884","Vente","196000","80550","Maison","83"
"2023-432885","Vente","75000","80510","Appartement","36"
"2023-432885","Vente","75000","80510","Appartement","54"
"2023-432885","Vente","75000","80510","Appartement","36"
"2023-432885","Vente","75000","80510","Appartement","26"
"2023-432885","Vente","75000","80510","Appartement","50"
"2023-432885","Vente","75000","80510","Appartement","50"
"2023-432885","Vente","75000","80510","Appartement","50"
"2023-432885","Vente","75000","80510","Appartement","26"
"2023-432887","Vente","87500","80100","Maison","50"
"2023-432888","Vente","136800","80150","Maison","94"
"2023-432889","Vente","99000","80080","Appartement","37"
"2023-432890","Vente","215000","80110","Maison","95"
"2023-432890","Vente","215000","80110","Maison","95"
"2023-432890","Vente","215000","80110","Maison","95"
"2023-432891","Vente","144900","80260","Maison","56"
"2023-432893","Vente","206500","80800","Maison","108"
